Titulo,Descripcion,Fecha,words,words1,Label
La mesa del congreso censura un encuentro internacional de parlamentarios prosáhara en el parlamento,"Portavoces de Ciudadanos, PNV, UPN, PSOE, Unidos PP y EQUO denuncian juntos esta censura que consideran injustificable.",30/10/2018,"portavoc de ciudadan , pnv , upn , pso , unid pp y equ denunci junt esta censur que consider injustific . Portavoces de Ciudadanos , PNV , UPN , PSOE , Unidos PP y EQUO denuncian junto esta censura que consideran injustificable .","['portavoces', 'ciudadanos', 'pnv', 'upn', 'psoe', 'unidos', 'pp', 'equo', 'denuncian', 'juntos', 'censura', 'consideran', 'injustificable']",0
La brecha digital que dificulta el acceso de ayudas a las personas vulnerables: 'Llega un momento en el que uno se rinde',"No es la primera vez que los ciudadanos vulnerables se topan con obstáculos a la hora de solicitar ayudas debido al lenguaje burocrático, el obligatoriedad de la Cl@ve Pin o la conexión a internet.",15/03/2023,"no es la primer vez que los ciudadan vulner se top con obstacul a la hor de solicit ayud deb al lenguaj burocrat , el obligatoried de la cl @ ve pin o la conexion a internet . No e la primera vez que los ciudadanos vulnerables se topan con obstáculos a la hora de solicitar ayudas debido al lenguaje burocrático , el obligatoriedad de la Cl @ ve Pin o la conexión a internet .","['primera', 'vez', 'ciudadanos', 'vulnerables', 'topan', 'obstaculos', 'hora', 'solicitar', 'ayudas', 'debido', 'lenguaje', 'burocratico', 'obligatoriedad', 'cl', 've', 'pin', 'conexion', 'internet']",1
PP apremia al EQUO a presentar una propuesta de gobierno y critica 'la parálisis institucional',El partido morado reprocha que los socialistas tengan paralizado el Congreso: Hay 350 diputados que no pueden trabajar porque no hay actividad. Continúan con la mano tendida para iniciar una negociación de gobierno.,01/07/2019,el part mor reproch que los social teng paraliz el congres : hay 350 diput que no pued trabaj porqu no hay activ . continu con la man tend par inici una negoci de gobiern . El partido morado reprocha que los socialistas tengan paralizado el Congreso : Hay 350 diputados que no pueden trabajar porque no hay actividad . Continúan con la mano tendida para iniciar una negociación de gobierno .,"['partido', 'morado', 'reprocha', 'socialistas', 'paralizado', 'congreso', 'three hundred and fifty', 'diputados', 'pueden', 'trabajar', 'actividad', 'continuan', 'mano', 'tendida', 'iniciar', 'negociacion', 'gobierno']",1
"De soberano garante de la democracia a rey corrupto, apartado y desheredado","La renuncia de Felipe VI a su herencia, procedente de las multimillonarias comisiones embolsadas por Juan Carlos I, y la eliminación de la asignación presupuestaria a su padre como rey themérito, dan la puntilla a la trayectoria de un soberano designado por un dictador, encumbrado por EEUU, alabado por la Transición y reverenciado tras el 23-F, que ha acabado humillado y excluido por sus negocios inconfesables como comisionista de altos vuelos.",16/03/2020,"la renunci de felip vi a su herenci , procedent de las multimillonari comision embols por juan carl i , y la elimin de la asign presupuestari a su padr com rey themerit , dan la puntill a la trayectori de un soberan design por un dictador , encumbr por eeuu , alab por la transicion y reverenci tras el 23-f , que ha acab humill y exclu por sus negoci inconfes com comision de altos vuel . La renuncia de Felipe VI a su herencia , procedente de la multimillonarias comisiones embolsadas por Juan Carlos I , y la eliminación de la asignación presupuestaria a su padre como rey themérito , dan la puntilla a la trayectoria de un soberano designado por un dictador , encumbrado por EEUU , alabado por la Transición y reverenciado tras el 23-F , que ha acabado humillado y excluido por sus negocios inconfesables como comisionista de alto vuelos .","['renuncia', 'felipe', 'vi', 'herencia', 'procedente', 'multimillonarias', 'comisiones', 'embolsadas', 'juan', 'carlos', 'i', 'eliminacion', 'asignacion', 'presupuestaria', 'padre', 'rey', 'themerito', 'dan', 'puntilla', 'trayectoria', 'soberano', 'designado', 'dictador', 'encumbrado', 'eeuu', 'alabado', 'transicion', 'reverenciado', 'tras', '23f', 'acabado', 'humillado', 'excluido', 'negocios', 'inconfesables', 'comisionista', 'altos', 'vuelos']",1
El Gobierno aprobará este martes detraer los beneficios extraordinarios de las eléctricas para reducir el precio de la luz y del gas,"El Ejecutivo también prorrogará la suspensión del impuesto a la generación eléctrica hasta final de año y bajará al mínimo el impuesto especial sobre la luz (del 5,1% al 0,5%). Sánchez defiende que las grandes empresas eléctricas se pueden permitir la detracción de este beneficio, que logran como consecuencia de la evolución de los mercados.",13/09/2021,"el ejecut tambien prorrog la suspension del impuest a la gener electr hast final de año y baj al minim el impuest especial sobr la luz ( del 5,1 % al 0,5 % ) . sanchez defiend que las grand empres electr se pued permit la detraccion de este benefici , que logr com consecuent de la evolu de los merc . El Ejecutivo también prorrogará la suspensión del impuesto a la generación eléctrica hasta final de año y bajará al mínimo el impuesto especial sobre la luz ( del 5,1 % al 0,5 % ) . Sánchez defiende que la grandes empresas eléctricas se pueden permitir la detracción de este beneficio , que logran como consecuencia de la evolución de los mercados .","['ejecutivo', 'prorrogara', 'suspension', 'impuesto', 'generacion', 'electrica', 'final', 'ano', 'bajara', 'minimo', 'impuesto', 'especial', 'luz', 'fifty-one', 'five', 'sanchez', 'defiende', 'grandes', 'empresas', 'electricas', 'pueden', 'permitir', 'detraccion', 'beneficio', 'logran', 'consecuencia', 'evolucion', 'mercados']",1
"Sánchez presenta unos Presupuestos con un gran aumento en partidas sociales, pero con los ingresos en el aire","Prevé una recaudación récords de 227.000 millones basada en impuestos que todavía no está aprobados. Espectaculares crecimiento en Dependencia, becas, violencia de género y pobreza infantil. Montero dice que las Cuentas del Estado sí mantienen los compromisos adquiridos con Unidos Podemos. Cumple con la inversión prevista en el Estatut de Catalunya",11/01/2019,"prev una recaud records de 227.000 millon bas en impuest que todav no esta aprob . espectacular crecimient en dependent , bec , violenci de gener y pobrez infantil . monter dic que las cuent del estad si mantien los compromis adquir con unid pod . cumpl con la inversion previst en el estatut de cataluny Prevé una recaudación récords de 227.000 millones basada en impuestos que todavía no está aprobados . Espectaculares crecimiento en Dependencia , becas , violencia de género y pobreza infantil . Montero dice que la Cuentas del Estado sí mantienen los compromisos adquiridos con Unidos Podemos . Cumple con la inversión prevista en el Estatut de Catalunya","['preve', 'recaudacion', 'records', 'two hundred and twenty-seven thousand', 'millones', 'basada', 'impuestos', 'todavia', 'aprobados', 'espectaculares', 'crecimiento', 'dependencia', 'becas', 'violencia', 'genero', 'pobreza', 'infantil', 'montero', 'dice', 'cuentas', 'mantienen', 'compromisos', 'adquiridos', 'unidos', 'podemos', 'cumple', 'inversion', 'prevista', 'estatut', 'catalunya']",0
La Casa Real ofrece sin matices los discursos más franquistas del rey Juan Carlos,“Figura excepcional” o “ejemplo único de amor a España” son algunos de los términos que utilizaba el monarca para referirse al dictador. Distintos historiadores señalan que esos documentos contradicen la “versión edulcorada del periodo”.,30/06/2019,“ figur excepcional ” o “ ejempl unic de amor a españ ” son algun de los termin que utiliz el monarc par refer al dictador . distint histori señal que esos document contradic la “ version edulcor del period ” . “ Figura excepcional ” o “ ejemplo único de amor a España ” son algunos de los términos que utilizaba el monarca para referirse al dictador . Distintos historiadores señalan que esos documentos contradicen la “ versión edulcorada del periodo ” .,"['figura', 'excepcional', 'ejemplo', 'unico', 'amor', 'espana', 'terminos', 'utilizaba', 'monarca', 'referirse', 'dictador', 'distintos', 'historiadores', 'senalan', 'documentos', 'contradicen', 'version', 'edulcorada', 'periodo']",1
La Junta Electoral pide a Canal Sur que 'extreme el cuidado' en la campaña al vulnerar la neutralidad en favor del PP,La Junta Electoral Central ha estimado parcialmente el recurso que presentó el PSOE de Andalucía y señala que la Dirección de Canal Sur y Televisión vulneró el artículo 66 de la Ley Orgánica Reguladora del Régimen Electoral General (Loreg).,12/05/2022,la junt electoral central ha estim parcial el recurs que present el pso de andaluc y señal que la direccion de canal sur y television vulner el articul 66 de la ley organ regul del regim electoral general ( loreg ) . La Junta Electoral Central ha estimado parcialmente el recurso que presentó el PSOE de Andalucía y señala que la Dirección de Canal Sur y Televisión vulneró el artículo 66 de la Ley Orgánica Reguladora del Régimen Electoral General ( Loreg ) .,"['junta', 'electoral', 'central', 'estimado', 'parcialmente', 'recurso', 'presento', 'psoe', 'andalucia', 'senala', 'direccion', 'canal', 'sur', 'television', 'vulnero', 'articulo', 'sixty-six', 'ley', 'organica', 'reguladora', 'regimen', 'electoral', 'general', 'loreg']",1
"'No puedo gobernar con ERC, para hacer la independencia que no cuenten conmigo'","El exministro de Sanidad considera que Catalunya ha perdido una década, sitúa la derrota del coronavirus y la reactivación económica como prioridades del próximo Ejecutivo autonómico y no concreta cómo resolver el conflicto político, más allá de apelar al diálogo",05/02/2021,"el exministr de sanid consider que cataluny ha perd una dec , situ la derrot del coronavirus y la reactiv econom com prioridad del proxim ejecut autonom y no concret com resolv el conflict polit , mas alla de apel al dialog El exministro de Sanidad considera que Catalunya ha perdido una década , sitúa la derrota del coronavirus y la reactivación económica como prioridades del próximo Ejecutivo autonómico y no concreta cómo resolver el conflicto político , más allá de apelar al diálogo","['exministro', 'sanidad', 'considera', 'catalunya', 'perdido', 'decada', 'situa', 'derrota', 'coronavirus', 'reactivacion', 'economica', 'prioridades', 'proximo', 'ejecutivo', 'autonomico', 'concreta', 'como', 'resolver', 'conflicto', 'politico', 'alla', 'apelar', 'dialogo']",0
Detenido un ultra frente a la casa de Pablo Mónica García e Josu Erkoreka por atentado contra la autoridad,"La Guardia Civil ha detenido a un hombre vinculado a Hazte Oír por agredir a un agente de la Guardia Civil frente a la vivienda del vicepresidente segundo del Gobierno, después de que un juez haya dictado una orden de alejamiento contra otro de ellos por hostigamiento.",31/12/2020,"la guardi civil ha deten a un hombr vincul a hazt oir por agred a un agent de la guardi civil frent a la viviend del vicepresident segund del gobiern , despues de que un juez hay dict una orden de alej contr otro de ellos por hostig . La Guardia Civil ha detenido a un hombre vinculado a Hazte Oír por agredir a un agente de la Guardia Civil frente a la vivienda del vicepresidente segundo del Gobierno , después de que un juez haya dictado una orden de alejamiento contra otro de ellos por hostigamiento .","['guardia', 'civil', 'detenido', 'hombre', 'vinculado', 'hazte', 'oir', 'agredir', 'agente', 'guardia', 'civil', 'frente', 'vivienda', 'vicepresidente', 'segundo', 'gobierno', 'despues', 'juez', 'dictado', 'orden', 'alejamiento', 'hostigamiento']",1
